Unnamed: 0,Name of the event,Date,Time,Event description,Type of event,Location (Bangalore only),Registration Link,Estimated duration,Genre,Age Limit,Language,Page Link,Poster Link,combined_text,Predicted group size,label
134,Couple Clay Keychain Workshop,Sun 15 Mar 2026 - Sun 29 Mar 2026,,"Couple Clay Keychain Workshop 💛✨Looking for a fun, creative date that’s a little different?Join us for a hands-on clay workshop where you and your partner design and craft matching (or totally unique) keychains together.From shaping and carving to adding textures and tiny details, you’ll personalise pieces that reflect your story.Laugh, create, and make something meaningful side by side.Add initials, tiny symbols, or sweet little messages to make it truly yours.Capture cute moments, get a little messy, and enjoy a cozy creative vibe together.All materials are provided.Take home your handmade keychains as sweet little keepsakes you can carry with you every day.Read More",Arts and CraftsWorkshops,"Central Bar District, Hal Old Airport: Bengaluru",/events/couple-clay-keychain-workshop/ET00488230/venue,3 Hours,,Age Limit - 18yrs +,"English, Hindi",https://in.bookmyshow.com/events/couple-clay-keychain-workshop/ET00488230,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-couple-clay-keychain-workshop-0-2026-2-20-t-7-32-32.jpg,"Couple Clay Keychain Workshop Couple Clay Keychain Workshop 💛✨Looking for a fun, creative date that’s a little different?Join us for a hands-on clay workshop where you and your partner design and craft matching (or totally unique) keychains together.From shaping and carving to adding textures and tiny details, you’ll personalise pieces that reflect your story.Laugh, create, and make something meaningful side by side.Add initials, tiny symbols, or sweet little messages to make it truly yours.Capture cute moments, get a little messy, and enjoy a cozy creative vibe together.All materials are provided.Take home your handmade keychains as sweet little keepsakes you can carry with you every day.Read More Arts and CraftsWorkshops nan",3,1
102,Rambo Circus - Bengaluru,Fri 24 Apr 2026 - Sun 3 May 2026,,"Experience the Magic of Rambo Circus in Bengaluru: A Must-See Family Entertainment Extravaganza! 🎪Join us for an unforgettable journey as Rambo Circus returns by popular demand to St. John`s Auditorium Kormangla in Bengaluru! This award-winning circus is the perfect destination for family entertainment, featuring an array of captivating circus acts that celebrate the best of Indian artistry. Don’t miss this spectacular event that promises to enchant audiences of all ages.What to Expect:This season, Rambo Circus introduces a host of exciting new acts that will leave you in awe:Laser Show by a Dynamic Couple: Be mesmerized by a breathtaking laser performance that showcases the beauty of light and movement. This unique act is sure to dazzle and captivate all audience members.Slinky Performance: Watch as talented artists manipulate the iconic slinky in creative and entertaining ways, adding a playful twist to the show.Giraffe Cycle and Unicycle Acts: Prepare for laughter and amazement as our performers ride the giraffe cycle and unicycle, showcasing their exceptional balance and skill.Juggling on Balls: Enjoy the incredible juggling skills of our artists as they perform astonishing tricks while balancing on balls, adding an element of excitement and surprise.Sky Walking: Witness the thrilling art of sky walking, where performers gracefully navigate heights with incredible poise and agility.Family-Friendly Fun: Rambo Circus ensures there's something for everyone! Enjoy traditional Indian performances alongside modern circus acts, including contortionists and aerial performances that will leave you breathless.Laughter and Joy: Our delightful clowns will keep the atmosphere light and joyful, ensuring smiles and giggles throughout the show.A Unique Auditorium Experience: For the first time, experience this spectacular circus in a comfortable auditorium setting at St. John’s Auditorium, offering 90 minutes of non-stop entertainment designed for all ages.Event Details:Rambo Circus Dates in Bengaluru: Fri 24 Apr 2026 - Sun 3 May 2026Don’t Miss Out! Secure your Rambo Circus tickets today to be part of this unique circus adventure. Rambo Circus is the ultimate destination for family-friendly shows and live entertainment—create lasting memories with your loved ones during the holiday season and discover why it’s the talk of the town!Get ready for an extraordinary experience filled with laughter, awe, and unforgettable moments at Rambo Circus Bengaluru! 🎉✨Read More",EntertainmentCircusKids,St. John`s Auditorium: Bengaluru,/events/rambo-circus/ET00389464/date-time/SJKB,1 hour 25 minutes,,All age groups,"English, Kannada, Hindi",https://in.bookmyshow.com/events/rambo-circus/ET00389464,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-rambo-circus-bengaluru-1-2026-1-21-t-7-33-50.jpg,"Rambo Circus - Bengaluru Experience the Magic of Rambo Circus in Bengaluru: A Must-See Family Entertainment Extravaganza! 🎪Join us for an unforgettable journey as Rambo Circus returns by popular demand to St. John`s Auditorium Kormangla in Bengaluru! This award-winning circus is the perfect destination for family entertainment, featuring an array of captivating circus acts that celebrate the best of Indian artistry. Don’t miss this spectacular event that promises to enchant audiences of all ages.What to Expect:This season, Rambo Circus introduces a host of exciting new acts that will leave you in awe:Laser Show by a Dynamic Couple: Be mesmerized by a breathtaking laser performance that showcases the beauty of light and movement. This unique act is sure to dazzle and captivate all audience members.Slinky Performance: Watch as talented artists manipulate the iconic slinky in creative and entertaining ways, adding a playful twist to the show.Giraffe Cycle and Unicycle Acts: Prepare for laughter and amazement as our performers ride the giraffe cycle and unicycle, showcasing their exceptional balance and skill.Juggling on Balls: Enjoy the incredible juggling skills of our artists as they perform astonishing tricks while balancing on balls, adding an element of excitement and surprise.Sky Walking: Witness the thrilling art of sky walking, where performers gracefully navigate heights with incredible poise and agility.Family-Friendly Fun: Rambo Circus ensures there's something for everyone! Enjoy traditional Indian performances alongside modern circus acts, including contortionists and aerial performances that will leave you breathless.Laughter and Joy: Our delightful clowns will keep the atmosphere light and joyful, ensuring smiles and giggles throughout the show.A Unique Auditorium Experience: For the first time, experience this spectacular circus in a comfortable auditorium setting at St. John’s Auditorium, offering 90 minutes of non-stop entertainment designed for all ages.Event Details:Rambo Circus Dates in Bengaluru: Fri 24 Apr 2026 - Sun 3 May 2026Don’t Miss Out! Secure your Rambo Circus tickets today to be part of this unique circus adventure. Rambo Circus is the ultimate destination for family-friendly shows and live entertainment—create lasting memories with your loved ones during the holiday season and discover why it’s the talk of the town!Get ready for an extraordinary experience filled with laughter, awe, and unforgettable moments at Rambo Circus Bengaluru! 🎉✨Read More EntertainmentCircusKids nan",3,1
34,POTTERY WHEEL EXPERIENCE,Sun 29 Mar 2026,1:00 PM,"Discover the Joy of Pottery at Our Pottery Workshop!Join us on 22nd March at Cafe Muziris, Indiranagar, for an unforgettable experience of creativity and connection. Whether you’re a seasoned artist or a complete beginner, this workshop is your chance to shape, mold, and express yourself through the art of pottery. Guided by expert instructors, you’ll learn the delicate techniques of pottery making in a calm and welcoming atmosphere. Embrace the therapeutic power of clay and let your hands create something truly beautiful!Read More",Arts and CraftsEducationWorkshops,"Central Bar District, Hal Old Airport: Bengaluru",/events/pottery-workshop-wheel/ET00437093/ticket/QOPL/10150,2 hours 30 minutes,,Age Limit - 8yrs +,"English, Kannada, Hindi, Telugu, Tamil, ...",https://in.bookmyshow.com/events/pottery-workshop-wheel/ET00437093,https://assets-in.bmscdn.com/nmcms/desktop/media-desktop-pottery-wheel-experience-2026-2-19-t-19-28-18.jpg,"POTTERY WHEEL EXPERIENCE Discover the Joy of Pottery at Our Pottery Workshop!Join us on 22nd March at Cafe Muziris, Indiranagar, for an unforgettable experience of creativity and connection. Whether you’re a seasoned artist or a complete beginner, this workshop is your chance to shape, mold, and express yourself through the art of pottery. Guided by expert instructors, you’ll learn the delicate techniques of pottery making in a calm and welcoming atmosphere. Embrace the therapeutic power of clay and let your hands create something truly beautiful!Read More Arts and CraftsEducationWorkshops nan",3,1
11,RESIN TRAY,Mon 16 Mar 2026 - Tue 8 Sep 2026,6:30 PM,"Design Your Own Resin Tray – A Creative Home Décor Experience! ✨Unleash your creativity and design a beautiful resin tray for your home with your own unique touch!🎨 What’s Included?✔️ All materials provided✔️ Step-by-step guidance✔️ A relaxing, hands-on experience👩‍🎨 Who Can Join?Anyone 18 years and above is welcome.💫 Why You’ll Love ItYou’ll be amazed by your own creativity! Time will fly without you even noticing—and best of all, enjoy a refreshing experience with zero screen time.Come, relax, create, and take home something truly special made by you! 💖For all resin first-timers, kindly note that the curing time for resin artwork is 24–48 hours.You may revisit to collect your finished product once it is fully cured, or you can arrange a pickup through any transport/delivery service at your convenience.Thank you for your understanding and patience 🌸Disclaimer:This is a guided DIY experience, not a professional certification or training program.As we conduct multiple activities simultaneously, there may be a brief wait time. We appreciate your patience and cooperation.✨ Create. Pause. Cherish the moment.Very important Please choose to come when you do not have any other prior commitments and if you are not in a rush.Come and experience the me time or the time spent with your friends and family We sincerely request your patience and understanding while we ensure everyone receives a comfortable and enjoyable experience. Thank you for your cooperation and support. ✨Read More",Arts and CraftsFashion and BeautyWorkshops,Fabrizo - Creative Activity Hub: Bengaluru,/events/resin-tray/ET00485478/date-time/HZND,3 Hours,,Age Limit - 18yrs +,"English, Hindi, Malayalam, Kannada, Telu...",https://in.bookmyshow.com/events/resin-tray/ET00485478,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-resin-tray-0-2026-2-6-t-4-39-1.jpg,"RESIN TRAY Design Your Own Resin Tray – A Creative Home Décor Experience! ✨Unleash your creativity and design a beautiful resin tray for your home with your own unique touch!🎨 What’s Included?✔️ All materials provided✔️ Step-by-step guidance✔️ A relaxing, hands-on experience👩‍🎨 Who Can Join?Anyone 18 years and above is welcome.💫 Why You’ll Love ItYou’ll be amazed by your own creativity! Time will fly without you even noticing—and best of all, enjoy a refreshing experience with zero screen time.Come, relax, create, and take home something truly special made by you! 💖For all resin first-timers, kindly note that the curing time for resin artwork is 24–48 hours.You may revisit to collect your finished product once it is fully cured, or you can arrange a pickup through any transport/delivery service at your convenience.Thank you for your understanding and patience 🌸Disclaimer:This is a guided DIY experience, not a professional certification or training program.As we conduct multiple activities simultaneously, there may be a brief wait time. We appreciate your patience and cooperation.✨ Create. Pause. Cherish the moment.Very important Please choose to come when you do not have any other prior commitments and if you are not in a rush.Come and experience the me time or the time spent with your friends and family We sincerely request your patience and understanding while we ensure everyone receives a comfortable and enjoyable experience. Thank you for your cooperation and support. ✨Read More Arts and CraftsFashion and BeautyWorkshops nan",4,1
199,Fresh Violence ft. Punit Pania,Sun 22 Mar 2026 - Sun 5 Apr 2026,5:30 PM,"No entry for individuals under 21 years of age.Our country is as beautiful as it is brutal. Punit Pania takes an unflinching look at the violence and apathy that seem to be as much a part of our identities as our diversity.In this latest stand-up special, Punit takes the audience on a tour across our great land through the eyes of a hopeful artist and a veteran writer.Read More",Stand up ComedyComedy Shows,Kaavu: Bengaluru,/events/punit-pania-live-in-bangalore/ET00312973/venue,1 hour 30 minutes,Comedy,Age Limit - 21yrs +,"English, Hindi",https://in.bookmyshow.com/events/punit-pania-live-in-bangalore/ET00312973,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-fresh-violence-ft-punit-pania-0-2023-10-8-t-12-10-28.jpg,"Fresh Violence ft. Punit Pania No entry for individuals under 21 years of age.Our country is as beautiful as it is brutal. Punit Pania takes an unflinching look at the violence and apathy that seem to be as much a part of our identities as our diversity.In this latest stand-up special, Punit takes the audience on a tour across our great land through the eyes of a hopeful artist and a veteran writer.Read More Stand up ComedyComedy Shows Comedy",4,1
179,Bachata & Salsa Dance Workshop @nydc,Sun 15 Mar 2026 - Sun 29 Mar 2026,4:05 PM,"Get ready to heat up the dance floor with NYDC`s Salsa & Bachata Workshop! Salsa, known for its fast-paced rhythms and intricate footwork, and Bachata, with its smooth, romantic flair, are two of the most popular Latin dance styles worldwide. This workshop offers an exciting introduction to both, where you`ll learn the basic steps, turns, and partner techniques that make these dances so captivating. Whether you`re a seasoned dancer or a curious beginner, join us for an unforgettable experience filled with passion, rhythm, and fun. Don’t miss your chance to dive into the vibrant world of Latin dance—reserve your spot nowRead More",DanceHealth and FitnessWorkshops,NYDC Pole Dance Fitness: Bengaluru,/events/salsa-bachata-intermediate-workshop/ET00389534/date-time/UDJJ,2 Hours,,Age Limit - 18yrs +,"English, Hindi",https://in.bookmyshow.com/events/salsa-bachata-intermediate-workshop/ET00389534,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-bachata-salsa-dance-workshop-nydc-0-2024-8-14-t-4-23-12.jpg,"Bachata & Salsa Dance Workshop @nydc Get ready to heat up the dance floor with NYDC`s Salsa & Bachata Workshop! Salsa, known for its fast-paced rhythms and intricate footwork, and Bachata, with its smooth, romantic flair, are two of the most popular Latin dance styles worldwide. This workshop offers an exciting introduction to both, where you`ll learn the basic steps, turns, and partner techniques that make these dances so captivating. Whether you`re a seasoned dancer or a curious beginner, join us for an unforgettable experience filled with passion, rhythm, and fun. Don’t miss your chance to dive into the vibrant world of Latin dance—reserve your spot nowRead More DanceHealth and FitnessWorkshops nan",4,1
6,DWAYAM,Sat 25 Apr 2026,5:00 PM,"Dwayam — A Celebration of Two Voices, One SoulDwayam brings together the extraordinary musical synergy of sister performers Lakshmi Nagaraj and Indu Nagaraj, whose voices blend tradition and modernity into a single unforgettable experience. Bound by blood and united by music, the duo presents a multi-genre concert that journeys through the depths of Carnatic classical, the nostalgia and energy of filmi melodies, and the soul-stirring elegance of ghazals — creating an evening that resonates across generations.Adding to its uniqueness, Dwayam is a multilingual musical celebration, featuring songs in Kannada, Telugu, Tamil, and Hindi, reflecting the rich diversity of Indian music and connecting audiences through familiar melodies and timeless compositions.Host and Moderated by RJ Mayuurra Raghavendra, the concert goes beyond performance, offering stories, emotions, and musical conversations that reveal the artistry and bond behind the voices. Dwayam is not just a concert — it is a dialogue between two musical souls, where tradition meets contemporary expression and every note celebrates harmony, connection, and timeless artistry.Join us for an immersive musical evening on 25th April 2026 at PCPA, where melodies merge, languages unite, and two voices become one unforgettable experienceRead More",ConcertsMusic Shows,Prestige Centre for Performing Arts: Bengaluru,/events/dwayam/ET00489329/seat-layout/seatscanvas/PSKY/10420,3 Hours,"carnatic, Classical, Fusion",Age Limit - 5yrs +,"English, Kannada, Tamil, Telugu, Hindi",https://in.bookmyshow.com/events/dwayam/ET00489329,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-dwayam-0-2026-3-2-t-5-55-48.jpg,"DWAYAM Dwayam — A Celebration of Two Voices, One SoulDwayam brings together the extraordinary musical synergy of sister performers Lakshmi Nagaraj and Indu Nagaraj, whose voices blend tradition and modernity into a single unforgettable experience. Bound by blood and united by music, the duo presents a multi-genre concert that journeys through the depths of Carnatic classical, the nostalgia and energy of filmi melodies, and the soul-stirring elegance of ghazals — creating an evening that resonates across generations.Adding to its uniqueness, Dwayam is a multilingual musical celebration, featuring songs in Kannada, Telugu, Tamil, and Hindi, reflecting the rich diversity of Indian music and connecting audiences through familiar melodies and timeless compositions.Host and Moderated by RJ Mayuurra Raghavendra, the concert goes beyond performance, offering stories, emotions, and musical conversations that reveal the artistry and bond behind the voices. Dwayam is not just a concert — it is a dialogue between two musical souls, where tradition meets contemporary expression and every note celebrates harmony, connection, and timeless artistry.Join us for an immersive musical evening on 25th April 2026 at PCPA, where melodies merge, languages unite, and two voices become one unforgettable experienceRead More ConcertsMusic Shows carnatic, Classical, Fusion",5,2
28,A Tale of Dreams and Destinies,Sun 12 Apr 2026,,"Step into a world of wonder as The Lewis Ballet Foundation invites you to the fabled Land of Treasures, Khazaanagarh: a city where wishes change destinies, secrets underground hold treasures beyond imagination, and the world is waiting to unfold at one’s fingertips.At the heart of Khazaanagarh is Avyaan, a quick-witted street dweller whose godgifted charm keeps him ahead of trouble, often alongside his loyal friends Rafeeque and Tanishq. Beyond the clamour and crass exchanges of the bazaar lives Princess Ziva who is sheltered within palace walls, yet restless with a spirit that longs to explore the world beyond the curtains of her royal carriage. She is the daughter of a Maharaja renowned across the subcontinent as a harbinger of peace, steadfast in his rejection of corruption. Watching from the shadows is the Vizier, a man who is sharp-eyed, silver-tongued, and calculating; his ambitions reaching far beyond the throne room.When the Vizier sends Avyaan to retrieve a mysterious lamp from a hidden trove of riches, an extraordinary chain of events is set into motion. A Djinn awakens, destinies entwine, and the future of Khazaanagarh is transformed forever.Join us on this spellbinding journey where courage is tested, dreams take flight, and a single spark has the power to change everything.About The Lewis Foundation of Classical BalletEstablished in 2006, The Lewis Foundation of Classical Ballet is India’s leading institution for classical ballet training and performances. Over a thousand students learn ballet across seven centres in Bengaluru and the organisaition stages large-scale, full-length ballet productions that match global artistic and technical standards biennially.As an affiliate of the Imperial Society of Teachers of Dance (ISTD), London, and under the aegis of its Artistic Director, Ms. Yana Lewis, the foundation places Ballet, Jazz, Modern, and other allied dance disciplines at the forefront of its teaching curriculum. The organisation’s performance repertoire includes classical ballets such as Cinderella, Belle and the Beast, and Sleeping Beauty, modern ballets like Oz and Alice, curated performances like A Ballet Soirée and Mosaics of Motion, and original choreographies of Ms. Lewis herself.Emphasising the veracity of the art form, the foundation is passionately committed to bringing classical ballet to the forefront in India and become Asia’s best ballet school and company. Read More",DancePerformances,Prestige Centre for Performing Arts: Bengaluru,/events/a-tale-of-dreams-and-destinies/ET00490520/date-time/PSKY,1 hour 45 minutes,,All age groups,,https://in.bookmyshow.com/events/a-tale-of-dreams-and-destinies/ET00490520,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-a-tale-of-dreams-and-destinies-0-2026-3-7-t-3-48-9.jpg,"A Tale of Dreams and Destinies Step into a world of wonder as The Lewis Ballet Foundation invites you to the fabled Land of Treasures, Khazaanagarh: a city where wishes change destinies, secrets underground hold treasures beyond imagination, and the world is waiting to unfold at one’s fingertips.At the heart of Khazaanagarh is Avyaan, a quick-witted street dweller whose godgifted charm keeps him ahead of trouble, often alongside his loyal friends Rafeeque and Tanishq. Beyond the clamour and crass exchanges of the bazaar lives Princess Ziva who is sheltered within palace walls, yet restless with a spirit that longs to explore the world beyond the curtains of her royal carriage. She is the daughter of a Maharaja renowned across the subcontinent as a harbinger of peace, steadfast in his rejection of corruption. Watching from the shadows is the Vizier, a man who is sharp-eyed, silver-tongued, and calculating; his ambitions reaching far beyond the throne room.When the Vizier sends Avyaan to retrieve a mysterious lamp from a hidden trove of riches, an extraordinary chain of events is set into motion. A Djinn awakens, destinies entwine, and the future of Khazaanagarh is transformed forever.Join us on this spellbinding journey where courage is tested, dreams take flight, and a single spark has the power to change everything.About The Lewis Foundation of Classical BalletEstablished in 2006, The Lewis Foundation of Classical Ballet is India’s leading institution for classical ballet training and performances. Over a thousand students learn ballet across seven centres in Bengaluru and the organisaition stages large-scale, full-length ballet productions that match global artistic and technical standards biennially.As an affiliate of the Imperial Society of Teachers of Dance (ISTD), London, and under the aegis of its Artistic Director, Ms. Yana Lewis, the foundation places Ballet, Jazz, Modern, and other allied dance disciplines at the forefront of its teaching curriculum. The organisation’s performance repertoire includes classical ballets such as Cinderella, Belle and the Beast, and Sleeping Beauty, modern ballets like Oz and Alice, curated performances like A Ballet Soirée and Mosaics of Motion, and original choreographies of Ms. Lewis herself.Emphasising the veracity of the art form, the foundation is passionately committed to bringing classical ballet to the forefront in India and become Asia’s best ballet school and company. Read More DancePerformances nan",4,1
121,Lippan Art Workshop,Sun 15 Mar 2026 - Sun 5 Apr 2026,6:00 PM,"✨ Have you ever wondered what Lippan Art truly is?Lippan Art, also known as Mud & Mirror Work, is a traditional craft from Gujarat made using clay, mirrors, and natural materials. Its beauty comes from the harmony of earthy textures and shimmering mirror patterns that catch the light and instantly elevate any space.It is simple, grounding, meditative — and absolutely magical to create.🎨 What makes it so beautiful?Because it reflects both nature and the artist.The clay brings calmness…The mirrors bring brightness…And your hands bring life to every design.💛 What we learn while making art (as human beings):– Patience and presence– Focus and mindfulness– Confidence to express our ideas– The joy of slowing down and meeting our inner self– The freedom to create without rules– Revisiting the simple art skills we left behind after school– The happiness of making something with our own handsEvery stroke, swirl, and arrangement teaches us something about ourselves.And the final piece you create becomes a beautiful memory you can carry home and cherish forever.🖌 What you will learn in this activity:– Basics of Lippan Art– Working with clay/mud for patterns– Arranging mirrors aesthetically– Designing symmetrical or free-flowing motifs– Creating textures and clean finishes– Completing a ready-to-display art piece💫 Why choose Fabrizo?– All materials provided — just walk in and start creating– No age limit — because creativity belongs to everyone– An aesthetic, cozy ambiance that instantly relaxes you– A warm, welcoming space where you will genuinely feel at ease– The freedom to order food from anywhere while you create at your own pace– A chance to meet and connect with other fellow artists and creative people– A budget-friendly way to experience a traditional art form– Friendly guidance and a space filled with positivity🌟 Come, unwind, unleash your creativity, and discover a part of yourself you may have forgotten.At Fabrizo, Lippan Art isn’t just an activity — it’s an experience that stays with you.Disclaimer:This is a guided DIY experience, not a professional certification or training program.As we conduct multiple activities simultaneously, there may be a brief wait time. We appreciate your patience and cooperation.✨ Create. Pause. Cherish the moment.Very important Please choose to come when you do not have any other prior commitments and if you are not in a rush.Come and experience the me time or the time spent with your friends and family We sincerely request your patience and understanding while we ensure everyone receives a comfortable and enjoyable experience. Thank you for your cooperation and support. ✨Read More",Arts and CraftsPaintingWorkshops,Fabrizo - Creative Activity Hub: Bengaluru.,/events/lippan-art-workshop/ET00477502/date-time/ZTYE,2 hours 30 minutes,,Age Limit - 12yrs +,"English, Hindi, Kannada, Malayalam, Tami...",https://in.bookmyshow.com/events/lippan-art-workshop/ET00477502,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-lippan-art-workshop-0-2025-12-20-t-8-45-39.jpg,"Lippan Art Workshop ✨ Have you ever wondered what Lippan Art truly is?Lippan Art, also known as Mud & Mirror Work, is a traditional craft from Gujarat made using clay, mirrors, and natural materials. Its beauty comes from the harmony of earthy textures and shimmering mirror patterns that catch the light and instantly elevate any space.It is simple, grounding, meditative — and absolutely magical to create.🎨 What makes it so beautiful?Because it reflects both nature and the artist.The clay brings calmness…The mirrors bring brightness…And your hands bring life to every design.💛 What we learn while making art (as human beings):– Patience and presence– Focus and mindfulness– Confidence to express our ideas– The joy of slowing down and meeting our inner self– The freedom to create without rules– Revisiting the simple art skills we left behind after school– The happiness of making something with our own handsEvery stroke, swirl, and arrangement teaches us something about ourselves.And the final piece you create becomes a beautiful memory you can carry home and cherish forever.🖌 What you will learn in this activity:– Basics of Lippan Art– Working with clay/mud for patterns– Arranging mirrors aesthetically– Designing symmetrical or free-flowing motifs– Creating textures and clean finishes– Completing a ready-to-display art piece💫 Why choose Fabrizo?– All materials provided — just walk in and start creating– No age limit — because creativity belongs to everyone– An aesthetic, cozy ambiance that instantly relaxes you– A warm, welcoming space where you will genuinely feel at ease– The freedom to order food from anywhere while you create at your own pace– A chance to meet and connect with other fellow artists and creative people– A budget-friendly way to experience a traditional art form– Friendly guidance and a space filled with positivity🌟 Come, unwind, unleash your creativity, and discover a part of yourself you may have forgotten.At Fabrizo, Lippan Art isn’t just an activity — it’s an experience that stays with you.Disclaimer:This is a guided DIY experience, not a professional certification or training program.As we conduct multiple activities simultaneously, there may be a brief wait time. We appreciate your patience and cooperation.✨ Create. Pause. Cherish the moment.Very important Please choose to come when you do not have any other prior commitments and if you are not in a rush.Come and experience the me time or the time spent with your friends and family We sincerely request your patience and understanding while we ensure everyone receives a comfortable and enjoyable experience. Thank you for your cooperation and support. ✨Read More Arts and CraftsPaintingWorkshops nan",2,0
4,UDIT NARAYAN x ADITYA NARAYAN Live in Bengaluru ,Sat 28 Mar 2026,6:00 PM,"🎤✨ Noizz Entertainment presentsThe Bollywood Blockbuster of 2026 ✨🎶 announcing the first one of 2026💛 Some voices never fade...They linger in our hearts —echoing through every memory, every melody,every love story ever told.This February 21, 2026,let the golden era of ’90s and 2000s music come alive again! 💫Witness the legendary Udit Narayanand the ever-charming Aditya Narayanshare the stage for a night of timeless tunes, love, and nostalgia. ❤️📍 Venue: Phoenix Marketcity, Whitefield🕕 Time: 6 PM onwards🎟️ Tickets: Exclusively on BookMyShowBecause some melodies don’t age — they just get louder with love. 🎶💖Read More",ConcertsMusic Shows,Phoenix Market City: Bangalore,/events/udit-narayan-x-aditya-narayan-live-in-bengaluru/ET00468571/ticket/HPMY/21991,4 Hours,"Bollywood, Romantic",Age Limit - 5yrs +,"Hindi, Kannada, Telugu, Tamil",https://in.bookmyshow.com/events/udit-narayan-x-aditya-narayan-live-in-bengaluru/ET00468571,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-udit-narayan-x-aditya-narayan-live-in-bengaluru-0-2025-10-28-t-14-16-3.jpg,"UDIT NARAYAN x ADITYA NARAYAN Live in Bengaluru  🎤✨ Noizz Entertainment presentsThe Bollywood Blockbuster of 2026 ✨🎶 announcing the first one of 2026💛 Some voices never fade...They linger in our hearts —echoing through every memory, every melody,every love story ever told.This February 21, 2026,let the golden era of ’90s and 2000s music come alive again! 💫Witness the legendary Udit Narayanand the ever-charming Aditya Narayanshare the stage for a night of timeless tunes, love, and nostalgia. ❤️📍 Venue: Phoenix Marketcity, Whitefield🕕 Time: 6 PM onwards🎟️ Tickets: Exclusively on BookMyShowBecause some melodies don’t age — they just get louder with love. 🎶💖Read More ConcertsMusic Shows Bollywood, Romantic",4,1
33,Wheel Pottery Workshop,Sun 15 Mar 2026 - Tue 31 Mar 2026,3:00 PM,"Ever wondered how it feels to shape clay on a spinning wheel?Dive into the magic of wheel pottery — get your hands muddy, calm your mind, and create something truly your own. A soothing, creative escape you’ll fall in love with!✅ All materials and tools will be provided👐 Enjoy a complete hands-on pottery experience🎨 Get step-by-step guidance from our expert potterRead More",Arts and CraftsWorkshops,Thirdspace - Art Cafe and Community: Bengaluru.,/events/wheel-pottery-workshop/ET00479012/date-time/ZTAC,45 Minutes,,All age groups,"Hindi, English",https://in.bookmyshow.com/events/wheel-pottery-workshop/ET00479012,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-wheel-pottery-workshop-0-2025-12-28-t-10-32-14.jpg,"Wheel Pottery Workshop Ever wondered how it feels to shape clay on a spinning wheel?Dive into the magic of wheel pottery — get your hands muddy, calm your mind, and create something truly your own. A soothing, creative escape you’ll fall in love with!✅ All materials and tools will be provided👐 Enjoy a complete hands-on pottery experience🎨 Get step-by-step guidance from our expert potterRead More Arts and CraftsWorkshops nan",1,0
146,Diwali Diya Decoration,Sun 15 Mar 2026 - Thu 18 Jun 2026,1:00 PM,"Immerse yourself in the artistry of traditional Diya making at our workshop. Learn to fashion beautifully designed clay lamps, infusing your creativity with the essence of light and celebration. 🪔🪷Join us for a hands-on experience, where you`ll craft your own Diyas, perfect for adorning festivals, bringing warmth to your home, and celebrating cultural traditions.Read More",Arts and CraftsPaintingWorkshops,"SmallWorld: Koramangala 5th block, Bengaluru",/events/diya-making-workshop/ET00374723/venue,1 Hour,,Age Limit - 12yrs +,"English, Hindi",https://in.bookmyshow.com/events/diya-making-workshop/ET00374723,https://assets-in.bmscdn.com/nmcms/events/banner/desktop/media-desktop-diya-making-workshop-0-2024-10-17-t-3-31-58.jpg,"Diwali Diya Decoration Immerse yourself in the artistry of traditional Diya making at our workshop. Learn to fashion beautifully designed clay lamps, infusing your creativity with the essence of light and celebration. 🪔🪷Join us for a hands-on experience, where you`ll craft your own Diyas, perfect for adorning festivals, bringing warmth to your home, and celebrating cultural traditions.Read More Arts and CraftsPaintingWorkshops nan",1,0
